source,destination,weight,specificyear
1900,Coleoptera,7,""
1900,Hemiptera,1,""
1900,Hymenoptera,42,""
1900,Mantodea,1,""
1900,Orthoptera,68,""
1900,Phasmatodea,2,""
1901,Blattodea,1,""
1901,Dermaptera,2,""
1901,Hymenoptera,3,""
1901,Lepidoptera,2,""
1901,Mantodea,7,""
1901,Orthoptera,31,""
1901,Phasmatodea,2,""
1902,Blattodea,3,""
1902,Diptera,11,""
1902,Hymenoptera,16,""
1902,Lepidoptera,6,""
1902,Odonata,7,""
1902,Orthoptera,60,""
1902,Phasmatodea,3,""
1902[1903],Hymenoptera,7,""
1903,Blattodea,9,""
1903,Coleoptera,7,""
1903,Diptera,5,""
1903,Hemiptera,2,""
1903,Hymenoptera,118,""
1903,Lepidoptera,4,""
1903,Odonata,5,""
1903,Orthoptera,14,""
1903,Phasmatodea,1,""
1904,Blattodea,3,""
1904,Coleoptera,3,""
1904,Diptera,3,""
1904,Hemiptera,2,""
1904,Hymenoptera,104,""
1904,Lepidoptera,1,""
1904,Mantodea,4,""
1904,Orthoptera,96,""
1904,Phasmatodea,8,""
1905,Blattodea,1,""
1905,Coleoptera,13,""
1905,Hymenoptera,17,""
1905,Lepidoptera,4,""
1905,Odonata,1,""
1905,Orthoptera,70,""
1905,Phasmatodea,2,""
1906,Blattodea,6,""
1906,Coleoptera,1,""
1906,Delete,1,""
1906,Diptera,8,""
1906,Hymenoptera,2,""
1906,Lepidoptera,3,""
1906,Mantodea,1,""
1906,Odonata,1,""
1906,Orthoptera,63,""
1906,Phasmatodea,2,""
1907,Coleoptera,3,""
1907,Diptera,4,""
1907,Hymenoptera,17,""
1907,Lepidoptera,3,""
1907,Mantodea,3,""
1907,Odonata,3,""
1907,Orthoptera,51,""
1907,Phasmatodea,2,""
1908,Coleoptera,1,""
1908,Diptera,3,""
1908,Hymenoptera,6,""
1908,Lepidoptera,13,""
1908,Mantodea,1,""
1908,Odonata,3,""
1908,Orthoptera,48,""
1908,Phasmatodea,1,""
1909,Blattodea,2,""
1909,Coleoptera,3,""
1909,Diptera,3,""
1909,Hymenoptera,5,""
1909,Mantodea,1,""
1909,Odonata,15,""
1909,Orthoptera,13,""
1909,Phasmatodea,3,""
1910,Blattodea,1,""
1910,Coleoptera,2,""
1910,Diptera,1,""
1910,Hemiptera,2,""
1910,Orthoptera,33,""
1910[1911],Orthoptera,1,""
1911,Blattodea,1,""
1911,Coleoptera,1,""
1911,Diptera,9,""
1911,Hymenoptera,1,""
1911,Lepidoptera,13,""
1911,Mantodea,3,""
1911,Odonata,1,""
1911,Orthoptera,57,""
1911,Phasmatodea,4,""
1912,Coleoptera,1,""
1912,Diptera,11,""
1912,Hymenoptera,7,""
1912,Lepidoptera,2,""
1912,Mantodea,2,""
1912,Odonata,2,""
1912,Orthoptera,34,""
1913,Blattodea,3,""
1913,Diptera,8,""
1913,Hymenoptera,5,""
1913,Lepidoptera,3,""
1913,Mantodea,3,""
1913,Odonata,1,""
1913,Orthoptera,53,""
1913,Phasmatodea,1,""
1914,Blattodea,1,""
1914,Dermaptera,1,""
1914,Diptera,62,""
1914,Hymenoptera,9,""
1914,Lepidoptera,6,""
1914,Orthoptera,23,""
1914,Phasmatodea,1,""
1915,Blattodea,2,""
1915,Coleoptera,4,""
1915,Diptera,17,""
1915,Hymenoptera,1,""
1915,Lepidoptera,9,""
1915,Orthoptera,104,""
1916,Blattodea,29,""
1916,Coleoptera,2,""
1916,Dermaptera,1,""
1916,Diptera,26,""
1916,Hymenoptera,2,""
1916,Lepidoptera,3,""
1916,Mantodea,2,""
1916,Orthoptera,33,""
1916[1917],Hymenoptera,33,""
1917,Blattodea,11,""
1917,Coleoptera,3,""
1917,Dermaptera,5,""
1917,Diptera,17,""
1917,Hymenoptera,42,""
1917,Lepidoptera,6,""
1917,Odonata,2,""
1917,Orthoptera,20,""
1918,Blattodea,7,""
1918,Coleoptera,1,""
1918,Diptera,87,""
1918,Lepidoptera,1,""
1918,Mantodea,2,""
1918,Odonata,1,""
1918,Orthoptera,55,""
1918,Phasmatodea,1,""
1919,Blattodea,15,""
1919,Coleoptera,1,""
1919,Dermaptera,3,""
1919,Diptera,37,""
1919,Lepidoptera,3,""
1919,Mantodea,2,""
1919,Odonata,3,""
1919,Orthoptera,50,""
1919,Phasmatodea,9,""
1920,Blattodea,13,""
1920,Coleoptera,4,""
1920,Diptera,22,""
1920,Hymenoptera,6,""
1920,Lepidoptera,13,""
1920,Mantodea,15,""
1920,Odonata,2,""
1920,Orthoptera,30,""
1920,Phasmatodea,3,""
1921,Blattodea,36,""
1921,Dermaptera,4,""
1921,Diptera,33,""
1921,Hymenoptera,1,""
1921,Lepidoptera,4,""
1921,Odonata,1,""
1921,Orthoptera,4,""
1921,Phasmatodea,1,""
1921[1922],Diptera,1,""
1922,Blattodea,11,""
1922,Coleoptera,2,""
1922,Dermaptera,1,""
1922,Diptera,2,""
1922,Hymenoptera,28,""
1922,Mantodea,4,""
1922,Orthoptera,78,""
1923,Blattodea,7,""
1923,Dermaptera,11,""
1923,Diptera,9,""
1923,Hemiptera,1,""
1923,Hymenoptera,1,""
1923,Lepidoptera,3,""
1923,Orthoptera,74,""
1923,Phasmatodea,4,""
1924,Blattodea,2,""
1924,Dermaptera,3,""
1924,Diptera,11,""
1924,Mantodea,1,""
1924,Odonata,2,""
1924,Orthoptera,45,""
1924,Phasmatodea,7,""
1925,Coleoptera,1,""
1925,Dermaptera,1,""
1925,Diptera,18,""
1925,Hemiptera,5,""
1925,Orthoptera,8,""
1926,Blattodea,53,""
1926,Diptera,23,""
1926,Hymenoptera,2,""
1926,Lepidoptera,10,""
1926,Orthoptera,6,""
1927,Blattodea,38,""
1927,Coleoptera,3,""
1927,Dermaptera,4,""
1927,Diptera,8,""
1927,Lepidoptera,9,""
1927,Mantodea,1,""
1927,Odonata,1,""
1927,Orthoptera,43,""
1928,Blattodea,16,""
1928,Coleoptera,2,""
1928,Lepidoptera,5,""
1928,Orthoptera,46,""
1928[1929],Hymenoptera,3,""
1929,Blattodea,30,""
1929,Coleoptera,4,""
1929,Dermaptera,1,""
1929,Diptera,14,""
1929,Lepidoptera,1,""
1929,Orthoptera,25,""
1930,Blattodea,9,""
1930,Diptera,27,""
1930,Hymenoptera,38,""
1930,Lepidoptera,1,""
1930,Odonata,1,""
1930,Orthoptera,5,""
1931,Blattodea,5,""
1931,Diptera,7,""
1931,Lepidoptera,11,""
1931,Mantodea,1,""
1931,Odonata,8,""
1931,Orthoptera,10,""
1932,Blattodea,16,""
1932,Coleoptera,2,""
1932,Dermaptera,1,""
1932,Diptera,9,""
1932,Orthoptera,31,""
1932,Phasmatodea,2,""
1932[1933],Blattodea,1,""
1933[1932],Blattodea,1,""
1933,Blattodea,20,""
1933,Coleoptera,1,""
1933,Dermaptera,3,""
1933,Diptera,5,""
1933,Lepidoptera,1,""
1933,Orthoptera,14,""
1933,Phasmatodea,11,""
1934,Coleoptera,5,""
1934,Diptera,14,""
1934,Hymenoptera,6,""
1934,Orthoptera,18,""
1934,Phasmatodea,2,""
1935,Blattodea,2,""
1935,Coleoptera,1,""
1935,Diptera,14,""
1935,Hymenoptera,1,""
1935,Mantodea,8,""
1935,Orthoptera,22,""
1936,Dermaptera,2,""
1936,Diptera,5,""
1936,Hymenoptera,3,""
1936,Orthoptera,35,""
1937,Blattodea,14,""
1937,Hymenoptera,9,""
1937,Lepidoptera,1,""
1937,Mantodea,1,""
1937,Orthoptera,25,""
1937,Phasmatodea,3,""
1938,Blattodea,1,""
1938,Diptera,12,""
1938,Hymenoptera,12,""
1938,Mantodea,1,""
1938,Orthoptera,9,""
1938,Phasmatodea,22,""
1939,Diptera,31,""
1939,Hymenoptera,14,""
1939,Lepidoptera,4,""
1939,Neuroptera,4,""
1939,Orthoptera,25,""
1940,Coleoptera,1,""
1940,Diptera,41,""
1940,Hymenoptera,22,""
1940,Orthoptera,9,""
1940,Phasmatodea,1,""
1941,Coleoptera,5,""
1941,Diptera,14,""
1941,Hymenoptera,15,""
1941,Lepidoptera,11,""
1941,Mantodea,1,""
1941,Orthoptera,10,""
1941,Trichoptera,2,""
1942,Diplopoda,2,""
1942,Diptera,21,""
1942,Hymenoptera,9,""
1942,Orthoptera,24,""
1942,Polydesmida,4,""
1943,Blattodea,8,""
1943,Diptera,9,""
1943,Hymenoptera,16,""
1943,Lepidoptera,2,""
1943,Orthoptera,5,""
1944,Diptera,12,""
1944,Hymenoptera,4,""
1944,Orthoptera,18,""
1945,Blattodea,2,""
1945,Coleoptera,11,""
1945,Orthoptera,14,""
1946,Coleoptera,3,""
1946,Dermaptera,4,""
1946,Diptera,2,""
1946,Hymenoptera,2,""
1946,Orthoptera,7,""
1947,Blattodea,1,""
1947,Diptera,1,""
1947,Hymenoptera,12,""
1947,Odonata,3,""
1947,Orthoptera,10,""
1947,Phasmatodea,6,""
1948,Coleoptera,1,""
1948,Delete,1,""
1948,Dermaptera,1,""
1948,Diptera,3,""
1948,Hymenoptera,1,""
1948,Lepidoptera,1,""
1948,Orthoptera,3,""
1949,Coleoptera,1,""
1949,Diptera,3,""
1949,Lepidoptera,4,""
1949,Mantodea,7,""
1949,Odonata,1,""
1950,Coleoptera,5,""
1950,Diptera,2,""
1950,Orthoptera,7,""
1950,Polydesmida,4,""
1951,Blattodea,2,""
1951,Mantodea,3,""
1951,Orthoptera,5,""
1952,Dermaptera,1,""
1952,Orthoptera,2,""
1953,Orthoptera,5,""
1953,Phasmatodea,1,""
1954,Coleoptera,1,""
1954,Diptera,25,""
1955,Orthoptera,13,""
1956,Orthoptera,14,""
1957,Coleoptera,3,""
1957,Diptera,41,""
1957,Orthoptera,1,""
1958,Diptera,1,""
1958,Ephemeroptera,1,""
1958,Orthoptera,7,""
1959,Collembola,1,""
1959,Diptera,1,""
1959,Orthoptera,7,""
1960,Collembola,7,""
1960,Diptera,11,""
1960,Hymenoptera,2,""
1960,Orthoptera,2,""
1961,Collembola,6,""
1961,Orthoptera,7,""
1962,Coleoptera,3,""
1962,Collembola,3,""
1962,Diptera,5,""
1962,Orthoptera,2,""
1963,Coleoptera,2,""
1963,Collembola,5,""
1963,Lepidoptera,3,""
1963,Orthoptera,3,""
1964,Collembola,4,""
1964,Orthoptera,14,""
1965,Blattodea,1,""
1965,Coleoptera,1,""
1965,Collembola,3,""
1965,Diptera,1,""
1965,Orthoptera,2,""
1966,Coleoptera,2,""
1966,Diptera,1,""
1966,Orthoptera,1,""
1967,Orthoptera,8,""
1968,Orthoptera,14,""
1969,Orthoptera,10,""
1970,Orthoptera,13,""
1971,Diptera,3,""
1971,Orthoptera,13,""
1971,Phasmatodea,1,""
1972,Hymenoptera,1,""
1972,Lepidoptera,1,""
1972,Orthoptera,6,""
1973,Blattodea,3,""
1973,Orthoptera,10,""
1974,Orthoptera,33,""
1975,Orthoptera,12,""
1976,Hymenoptera,1,""
1976,Orthoptera,19,""
1977,Blattodea,1,""
1977,Diptera,1,""
1977,Ephemeroptera,1,""
1977,Orthoptera,4,""
1979,Blattodea,3,""
1979,Diptera,1,""
1979,Orthoptera,15,""
1980,Diptera,1,""
1980,Hemiptera,1,""
1981,Diptera,1,""
1981,Orthoptera,1,""
1982,Diptera,1,""
1982,Mantodea,1,""
1983,Diptera,5,""
1983,Orthoptera,16,""
1984,Orthoptera,36,""
1985,Blattodea,1,""
1985,Diptera,1,""
1985,Orthoptera,8,""
1986,Blattodea,1,""
1986,Coleoptera,1,""
1987,Diptera,7,""
1987,Orthoptera,46,""
1988,Diptera,1,""
1988,Orthoptera,13,""
1989,Dermaptera,1,""
1989,Mantodea,1,""
1991,Blattodea,1,""
1993,Blattodea,1,""
1994,Ephemeroptera,1,""
1994,Orthoptera,207,""
1995,Blattodea,2,""
1995,Orthoptera,7,""
1996,Blattodea,3,""
1997,Blattodea,3,""
1997,Odonata,1,""
