from,to,weight
Java,Phasmatodea,1
Kenya,Dermaptera,1
Kenya,Diptera,1
Kenya,Hymenoptera,1
Kenya,Mantodea,1
Kenya,Orthoptera,19
Kenya,Phasmatodea,3
Korea (South),Orthoptera,3
Laos,Coleoptera,1
Liberia,Blattodea,1
Liberia,Mantodea,1
Liberia,Orthoptera,1
Madagascar,Coleoptera,1
Madagascar,Diptera,45
Madagascar,Mantodea,1
Madagascar,Orthoptera,27
Madagascar,Phasmatodea,1
Malawi,Orthoptera,13
Malaysia,Blattodea,3
Malaysia,Coleoptera,3
Malaysia,Mantodea,1
Malaysia,Orthoptera,32
Mali,Orthoptera,1
Marquesas Islands,Blattodea,2
Martinique,Lepidoptera,1
Mexico,Blattodea,18
Mexico,Coleoptera,13
Mexico,Dermaptera,3
Mexico,Diptera,12
Mexico,Hymenoptera,507
Mexico,Lepidoptera,5
Mexico,Mantodea,7
Mexico,Odonata,14
Mexico,Orthoptera,284
Mexico,Phasmatodea,5
Moluccas,Coleoptera,2
Moluccas,Mantodea,1
Moluccas,Orthoptera,10
Moluccas,Phasmatodea,5
Morocco,Orthoptera,1
Morocco,Phasmatodea,1
Mozambique,Blattodea,1
Mozambique,Orthoptera,2
Myanmar [=Burma],Coleoptera,1
Myanmar [=Burma],Dermaptera,1
Myanmar [=Burma],Diptera,1
Myanmar [=Burma],Orthoptera,15
Namibia,Orthoptera,1
New Caledonia,Coleoptera,2
New Caledonia,Orthoptera,25
New Guinea,Blattodea,3
New Guinea,Coleoptera,4
New Guinea,Delete,1
New Guinea,Diptera,6
New Guinea,Mantodea,1
New Guinea,Orthoptera,7
New Hebrides,Lepidoptera,1
New Zealand,Orthoptera,2
Nicaragua,Blattodea,2
Nicaragua,Diptera,1
Nicaragua,Lepidoptera,1
Nicaragua,Mantodea,1
Nicaragua,Orthoptera,13
Nicaragua,Phasmatodea,1
Nigeria,Orthoptera,3
North America,Hymenoptera,1
Northeast Africa,Hymenoptera,2
Palau [=Belau],Orthoptera,1
Panama,Blattodea,22
Panama,Coleoptera,1
Panama,Dermaptera,2
Panama,Diptera,4
Panama,Hymenoptera,1
Panama,Lepidoptera,2
Panama,Mantodea,2
Panama,Orthoptera,44
Panama,Phasmatodea,4
Paraguay,Blattodea,3
Paraguay,Coleoptera,1
Paraguay,Diptera,3
Paraguay,Mantodea,4
Paraguay,Odonata,1
Paraguay,Orthoptera,21
Paraguay,Phasmatodea,1
Peru,Blattodea,10
Peru,Dermaptera,2
Peru,Diptera,13
Peru,Ephemeroptera,2
Peru,Lepidoptera,1
Peru,Mantodea,1
Peru,Odonata,1
Peru,Orthoptera,92
Peru,Phasmatodea,5
Philippines,Coleoptera,3
Philippines,Dermaptera,2
Philippines,Diptera,1
Philippines,Hymenoptera,1
Philippines,Mantodea,4
Philippines,Orthoptera,93
Philippines,Phasmatodea,17
Puerto Rico,Blattodea,4
Puerto Rico,Hymenoptera,5
Puerto Rico,Phasmatodea,5
Senegal,Coleoptera,1
Sierra Leone,Coleoptera,1
Sierra Leone,Mantodea,1
Singapore,Blattodea,2
Singapore,Chilopoda,1
Singapore,Mantodea,1
Singapore,Orthoptera,9
Somalia,Mantodea,1
Somalia,Odonata,2
Somalia,Orthoptera,1
South Africa,Amblypygi,1
South Africa,Blattodea,10
South Africa,Hymenoptera,1
South Africa,Mantodea,2
South Africa,Orthoptera,27
South Africa,Scorpionidea,1
Sri Lanka (Ceylon),Coleoptera,1
Sri Lanka (Ceylon),Diptera,1
Sri Lanka (Ceylon),Orthoptera,21
Sudan,Orthoptera,1
Sumatra,Blattodea,13
Sumatra,Coleoptera,11
Sumatra,Dermaptera,4
Sumatra,Orthoptera,2
Surinam,Chilopoda,1
Surinam,Odonata,2
Surinam,Orthoptera,5
Switzerland (Suisse),Orthoptera,1
Syria,Hymenoptera,1
Taiwan (Formosa),Diptera,11
Tanzania,Coleoptera,2
Tanzania,Orthoptera,23
Thailand [=Siam],Orthoptera,6
Tibet,Diptera,1
Trinidad,Blattodea,7
Trinidad,Chilopoda,1
Trinidad,Hemiptera,1
Trinidad,Hymenoptera,2
Trinidad,Orthoptera,8
Turkey,Diptera,1
Uganda,Blattodea,1
Uganda,Mantodea,1
United States,Araneae,2
United States,Blattodea,26
United States,Chilopoda,5
United States,Coleoptera,340
United States,Collembola,27
United States,Dermaptera,4
United States,Diplopoda,11
United States,Diplura,7
United States,Diptera,536
United States,Ephemeroptera,5
United States,Geophilomorpha,7
United States,Hemiptera,13
United States,Hymenoptera,3151
United States,Lepidoptera,389
United States,Mantodea,11
United States,Neuroptera,15
United States,Odonata,23
United States,Opiliones,3
United States,Orthoptera,1168
United States,Phasmatodea,18
United States,Polydesmida,8
United States,Psocoptera,16
United States,Trichoptera,2
Uruguay,Orthoptera,1
Venezuela,Blattodea,1
Venezuela,Chilopoda,1
Venezuela,Coleoptera,1
Venezuela,Diptera,2
Venezuela,Hymenoptera,4
Venezuela,Lepidoptera,1
Venezuela,Mantodea,2
Venezuela,Orthoptera,15
Venezuela,Phasmatodea,1
Vietnam,Diptera,2
Vietnam,Mantodea,1
Vietnam,Orthoptera,10
Vietnam,Phasmatodea,1
West Indies,Hymenoptera,1
Zambia,Blattodea,1
Zambia,Orthoptera,1
Zimbabwe,Blattodea,1
