author,initialYear,finalYear
Rentz & Miller,1971,1971
Jago,1971,1971
Descamps,1971,1979
La Berge & Ribble,1972,1972
Rentz,1972,1976
Roth & Princis,1973,1973
Rentz & Weissman,1973,1981
Roth,1973,1999
Bailey,1975,1975
Huber,1976,1976
Ronderos,1976,1976
Soponis,1977,1977
Rowell & Carbonell,1977,1977
Allen,1977,2006
Otte & Jago,1979,1979
Otte,1979,2002
DeLong,1980,1980
Terra,1982,1982
Otte & Cade,1983,1984
Young,1986,1986
Roback & Rutter,1988,1988
"Otte, Toms & Cade",1988,1988
Sakai,1989,1989
Roy,1989,1989
Lugo-Ortiz & McCafferty,1994,1994
"Perez, Dominici, Hierro & Otte",1995,1995
"Perez, Hierro & Otte",1997,1997
"Perez-Gelabert, Hierro & Otte",1997,1997
"Perez, Hierro, Dominici & Otte",1997,1997
DeMarmels,1997,1997
Otte & Peck,1997,1997
Roth & Guti̩rrez,1998,1998
"P̩rez-Gelabert, Hierro & Otte",1998,1998
Wright & Pavulaan,1999,1999
Guti̩rrez,1999,1999
Otte & Cohn,2002,2002
Cigliano & Otte,2003,2003
Smith,2003,2003
Pavulaan & Wright,2005,2005
Allen & Rosenberg,2005,2005
Funk,2006,2006
