Year,Taxon,Collector,weight
1758,Orthoptera,Linnaeus,2
1828,Lepidoptera,"Say, Thomas",1
1831,Orthoptera,Serville,1
1832,Lepidoptera,Poey,11
1834,Coleoptera,Serville,1
1838,Orthoptera,Burmeister,1
1839,Orthoptera,Serville,1
1840,Coleoptera,Castelneau,1
1841,Orthoptera,Harris,1
1845,Coleoptera,Motschulsky,1
1846,Diptera,Loew,1
1846,Lepidoptera,Poey,1
1850,Orthoptera,Haldeman,2
1851,Lepidoptera,Poey,7
1853,Lepidoptera,Poey,1
1854,Hemiptera,Haldeman,2
1855,Coleoptera,Perroud,1
1857,Blattodea,??,2
1857,Lepidoptera,Herrich,1
1858,Blattodea,St̴l,1
1858,Coleoptera,Thomson,4
1859,Diptera,Osten Sacken,46
1859,Lepidoptera,Clemens,36
1860,Coleoptera,Thomson,1
1860,Hymenoptera,Norton,1
1860,Lepidoptera,Clemens,125
1861,Hemiptera,Uhler,1
1861,Hymenoptera,Norton,4
1861,Lepidoptera,Clemens,1
1861,Orthoptera,Scudder,4
1862,Blattodea,Scudder,2
1862,Coleoptera,Bland,9
1862,Hemiptera,St̴l,1
1862,Hymenoptera,Norton,11
1862,Lepidoptera,Clemens,9
1862,Lepidoptera,Grote,1
1862,Lepidoptera,Herrich,8
1862,Lepidoptera,Herrich,1
1862,Orthoptera,Scudder,39
1863,Coleoptera,Bland,10
1863,Hemiptera,Uhler,5
1863,Hymenoptera,Bassett,5
1863,Hymenoptera,Cresson,32
1863,Hymenoptera,Norton,1
1863,Lepidoptera,Blake,1
1863,Lepidoptera,Clemens,34
1863,Lepidoptera,Grote,13
1863,Lepidoptera,Herrich,5
1863,Orthoptera,Scudder,1
1864,Coleoptera,Bland,18
1864,Coleoptera,Chabrill,1
1864,Coleoptera,Fairmaire,1
1864,Coleoptera,Thomson,4
1864,Hymenoptera,Bassett,8
1864,Hymenoptera,Cresson,247
1864,Hymenoptera,Norton,21
1864,Lepidoptera,Clemens,48
1864,Lepidoptera,Grote,29
1864,Lepidoptera,Herrich,4
1864,Lepidoptera,Packard,6
1864,Orthoptera,Uhler,5
1865,Coleoptera,Bland,9
1865,Coleoptera,Brendel,16
1865,Diptera,Osten Sacken,1
1865,Hymenoptera,Cresson,384
1865,Hymenoptera,Norton,1
1865,Lepidoptera,Blake,1
1865,Lepidoptera,Clemens,26
1865,Lepidoptera,Grote,31
1865,Lepidoptera,Grote & Robinson,5
1865,Lepidoptera,Herrich,9
1866,Coleoptera,Brendel,6
1866,Coleoptera,LeConte,2
1866,Hymenoptera,Packard,9
1866,Lepidoptera,Grote,6
1866,Lepidoptera,Grote & Robinson,9
1866,Lepidoptera,Gundlach,1
1866,Lepidoptera,Reakirt,3
1867,Diptera,Grote,2
1867,Hymenoptera,Cresson,108
1867,Hymenoptera,Norton,33
1867,Hymenoptera,Packard,32
1867,Lepidoptera,Grote,7
1867,Lepidoptera,Grote & Robinson,17
1868,Hymenoptera,Cresson,1
1868,Hymenoptera,Cresson,188
1868,Hymenoptera,Davis,2
1868,Hymenoptera,Norton,11
1868,Lepidoptera,Grote & Robinson,17
1868,Orthoptera,"Smith, S.I.",1
1869,Blattodea,Scudder,2
1869,Blattodea,Walker,1
1869,Diptera,Osten Sacken,2
1869,Hymenoptera,Cresson,5
1869,Hymenoptera,Cresson,62
1869,Hymenoptera,Norton,15
1869,Lepidoptera,Robinson,43
1869,Mantodea,Scudder,1
1869,Orthoptera,Scudder,49
1869,Phasmatodea,Scudder,1
1870,Coleoptera,Bonvouloir,2
1870,Diplopoda,Cope,1
1870,Hemiptera,Uhler,1
1870,Hymenoptera,Bassett,2
1870,Hymenoptera,Cresson,77
1870,Lepidoptera,Grote & Robinson,8
1870,Lepidoptera,Robinson,2
1871,Hymenoptera,Blake,68
1871,Hymenoptera,Cresson,2
1871,Lepidoptera,Grote,2
1872,Coleoptera,Horn,2
1872,Hymenoptera,Blake,12
1872,Hymenoptera,Cresson,291
1872,Hymenoptera,Norton,17
1872,Lepidoptera,Chambers,2
1872,Lepidoptera,Grote,32
1872,Lepidoptera,Scudder,2
1872,Lepidoptera,Strecker,1
1872,Mantodea,Scudder,1
1872,Orthoptera,Scudder,7
1873,Coleoptera,Crotch,10
1873,Coleoptera,Horn,25
1873,Hymenoptera,Cresson,12
1873,Hymenoptera,Cresson,196
1873,Lepidoptera,Grote,6
1874,Coleoptera,Crotch,1
1874,Hymenoptera,Cresson,21
1874,Hymenoptera,Cresson,7
1875,Blattodea,Scudder,1
1875,Dermaptera,Scudder,2
1875,Diptera,Osten Sacken,2
1875,Hymenoptera,Cresson,1
1875,Hymenoptera,Cresson,16
1875,Lepidoptera,Edwards,1
1875,Orthoptera,Scudder,70
1875,Orthoptera,Thomas,1
1875,Phasmatodea,Scudder,3
1876,Coleoptera,Horn,41
1876,Hymenoptera,Cresson,1
1876,Hymenoptera,Cresson,2
1876,Lepidoptera,Packard,1
1876,Orthoptera,Bruner,1
1876,Orthoptera,Dodge,2
1876,Orthoptera,Scudder,37
1877,Blattodea,Scudder,2
1877,Coleoptera,Thomson,1
1877,Hymenoptera,Cresson,69
1877,Hymenoptera,Packard,1
1877,Lepidoptera,"Edwards, W.H.",1
1877,Mantodea,Scudder,1
1877,Orthoptera,Dodge,1
1877,Orthoptera,Scudder,27
1877,Orthoptera,Uhler,1
1878,Coleoptera,Horn,2
1878,Coleoptera,LeConte,4
1878,Hymenoptera,Cresson,319
1878,Orthoptera,Brunner,1
1878,Orthoptera,Scudder,35
1879,Coleoptera,Horn,1
1879,Coleoptera,Thomson,1
1879,Hymenoptera,Blake,28
1879,Hymenoptera,Cresson,60
1879,Hymenoptera,Cresson,94
1879,Hymenoptera,Emery & Forel,1
1879,Hymenoptera,Norton,8
1879,Hymenoptera,Patton,4
1879,Hymenoptera,"Smith, E.A.",1
1879,Lepidoptera,Fernald,1
1879,Orthoptera,Scudder,1
1880,Hymenoptera,Cresson,176
1881,Hymenoptera,Bassett,29
1881,Hymenoptera,Cresson,10
1881,Hymenoptera,Packard,2
1881,Hymenoptera,Patton,1
1881,Lepidoptera,Edwards,1
1881,Lepidoptera,Gundlach,1
1881,Orthoptera,Packard,1
1881,Orthoptera,Scudder,8
1882,Coleoptera,Jayne,6
1882,Hymenoptera,Andre,1
1882,Hymenoptera,Cresson,18
1882,Hymenoptera,Cresson,1
1882,Lepidoptera,Walsingham,3
1883,Blattodea,Gerstaecker,1
1883,Psocoptera,Aaron,8
1884,Coleoptera,Bates,1
